Reservoir_ID,Site_ID,Site_ID_pseudonym,Collection_Date,Date,SiteID,Full_Sample_ID,Sample_Year,Bloom_onset_date,avg_Bloom_Onset_date,BACI_classification,working_bloom_onset_date,control_impact,temp_ID,Species_Name,Count,Size,Functional_Group,Trophic_Group,Feeding_Type,FTG_Combined,Trophic_Group_General,Depth_m,chl_a_ugL,Temp_C,pH,SPC_uScm,DO_mgL,DO_percent,Secchi_m,WaterDepth_m,Microcystin_ugL,Cylindrospermopsin_ugL,HCB_Count,Dominant_Taxa,Taxa_1,Taxa_1_count,Taxa_2,Taxa_2_count,Taxa_3,Taxa_3_count,DEQ_Site_ID,DEQ_Sampling_Date,before_after,equation_classifcation,LnA,B,EQ_no,FF,pct_BV,WW_DW,biomass_needAbundance,biomass
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Cladocera_general,6.69E-05,NA,Cladocera,Herbivore,G-Filtration,Herbivore_ G-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.603,2.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Daphnia_galeata_mendote,0.003866157,1.704,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.603,2.84,NA,NA,NA,NA,22.5708384,0.087262409
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Daphnia_pulex,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.603,2.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Daphnia_schodleri,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.603,2.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Daphnia_pulicaria,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.603,2.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Daphnia_rosea,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.603,2.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Diaphanosoma_birgei,NA,NA,Cladocera,Herbivore,S-Filtration,Herbivore_ S-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.289,3.04,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Ceriodaphnia_reticulata,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,2.83,3.15,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Moina_spp,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,1.889,2.57,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Bosmina_longirostris,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,2.712,2.53,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Macrothrix_rosea,NA,NA,Cladocera,Herbivore,D-Filtration,Herbivore_ D-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,2.768,3.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Kurzia_latissima,NA,NA,Cladocera,Herbivore,B-Filtration,Herbivore_ B-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,4.543,3.64,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Leydlgla_quadrangularis,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,2.768,3.84,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Chydorus_sphaericus,NA,NA,Cladocera,Herbivore,C-Filtration,Herbivore_ C-Filtration,Herbivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,4.543,3.64,NA,NA,NA,NA,NA,NA
ALC,P1,C,6/14/2021,6/14/2021,ALC_P1,ALC_P1_20210614,2021,9/22/2021,9/1/2021,Before_Impact,9/22/2021,Impact,ALC_P1_20210614,Leptodora_kindti,NA,NA,Cladocera,Carnivore,Raptorial,Carnivore_ Raptorial,Carnivore,0.5,0.43496268,18,8.496666667,437.05,8.89,93.4,8.25,18.288,NA,NA,6928,Aphanizomenon flos-aquae,Aphanizomenon flos-aquae,6536.52,Microcystis,239.15,Dolichospermum,152.58,Okie_Beach,NA,Before,0,0.822,2.67,NA,NA,NA,NA,NA,NA
